,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,27555627,29433704,Bottle Cleaner,1.82,USD,Cleaning,27555627,Geet,2022-05-01T03:03:28Z,2022-05-01T03:03:28Z
1,27555627,30109179,Bottle Cleaner,1.36,USD,Cleaning,27555627,Geet,2022-05-01T03:01:08Z,2022-05-01T03:03:11Z
2,27555627,30109179,Avocado ,1.29,USD,General,27555627,Geet,2022-05-01T02:59:44Z,2022-05-01T02:59:44Z
3,27555627,30109179,Belvita,7.98,USD,General,27555627,Geet,2022-05-01T02:56:39Z,2022-05-01T02:56:39Z
4,32703372,30109179,Chocolate chips,2.24,USD,Groceries,32703372,yashdani,2022-05-01T18:31:12Z,2022-05-01T18:31:12Z
5,32703372,30109179,Vanilla extract,2.14,USD,General,32703372,yashdani,2022-05-01T18:30:30Z,2022-05-01T18:30:30Z
6,32703372,30109179,Flour,1.24,USD,General,32703372,yashdani,2022-05-01T18:29:58Z,2022-05-01T18:29:58Z
7,32703372,30109179,Baking soda,0.7,USD,Groceries,32703372,yashdani,2022-05-01T18:29:39Z,2022-05-01T18:29:39Z
8,32703372,30109179,Baking powder,0.99,USD,General,32703372,yashdani,2022-05-01T18:29:02Z,2022-05-01T18:29:02Z
9,32703372,30109179,Cocoa Powder,2.49,USD,General,32703372,yashdani,2022-05-01T18:28:16Z,2022-05-01T18:28:26Z
10,32703372,30109179,Lindt,0.0,USD,General,32703372,yashdani,2022-05-01T16:48:17Z,2022-05-01T16:48:17Z
11,32703372,30109179,Hershey Kisses,0.0,USD,General,32703372,yashdani,2022-05-01T16:47:37Z,2022-05-01T16:47:51Z
12,32703372,30109179,Tomatoes,1.21,USD,General,32703372,yashdani,2022-05-01T16:46:54Z,2022-05-01T16:46:54Z
13,32703372,30109179,Yogurt,0.0,USD,Groceries,32703372,yashdani,2022-05-01T16:45:57Z,2022-05-01T18:17:24Z
14,27555627,30109179,Rice,3.75,USD,General,27555627,Geet,2022-04-30T08:36:41Z,2022-04-30T08:36:41Z
15,27555627,30109179,Roti,1.83,USD,Dining out,27555627,Geet,2022-04-30T08:36:34Z,2022-04-30T08:36:34Z
16,27555627,30109179,Potatoes,1.5,USD,General,27555627,Geet,2022-04-30T08:20:42Z,2022-04-30T08:20:42Z
17,27555627,30109179,Tofu,0.88,USD,General,27555627,Geet,2022-04-30T08:20:29Z,2022-04-30T08:20:29Z
18,46379417,30109179,Ginger,0.39,USD,Groceries,46379417,swapnilarya68,2022-04-28T04:03:27Z,2022-04-28T04:03:49Z
19,46379417,30109179,Serrano Peppers,0.19,USD,General,46379417,swapnilarya68,2022-04-28T04:03:20Z,2022-04-28T04:03:20Z
20,46379417,30109179,Onions,0.94,USD,Groceries,46379417,swapnilarya68,2022-04-28T04:03:11Z,2022-04-28T04:03:11Z
21,46379417,30109179,Tomatoes,0.34,USD,General,46379417,swapnilarya68,2022-04-28T04:03:03Z,2022-04-28T04:03:03Z
22,32703372,30109179,Spinach,0.99,USD,General,32703372,yashdani,2022-04-27T22:08:05Z,2022-04-27T22:08:05Z
23,43357520,29433704,Wood floor cleaner + bathroom cleaner ,2.0,USD,Household supplies,43357520,Meet,2022-04-26T17:45:54Z,2022-04-26T17:45:54Z
24,46379417,30109179,🍆💦,1.0,USD,General,46379417,swapnilarya68,2022-04-25T03:06:05Z,2022-04-25T03:07:54Z
25,46379417,30109179,Ralphs Tax,3.0,USD,General,46379417,swapnilarya68,2022-04-23T07:33:28Z,2022-04-23T07:35:01Z
26,32703372,30109179,Coconut flakes,0.67,USD,Groceries,32703372,yashdani,2022-04-23T07:31:27Z,2022-04-23T07:31:27Z
27,32703372,30109179,Tofu,0.44,USD,General,32703372,yashdani,2022-04-23T07:29:54Z,2022-04-23T07:29:54Z
28,32703372,30109179,Roma,1.31,USD,General,32703372,yashdani,2022-04-23T07:29:29Z,2022-04-23T07:29:29Z
29,32703372,30109179,Potatoes,1.25,USD,General,32703372,yashdani,2022-04-23T07:28:15Z,2022-04-23T07:28:15Z
30,32703372,30109179,Lemon juice,0.5,USD,Groceries,32703372,yashdani,2022-04-23T07:26:17Z,2022-04-23T07:27:38Z
31,32703372,30109179,Cabbage,0.54,USD,General,32703372,yashdani,2022-04-23T07:25:45Z,2022-04-23T07:27:24Z
32,32703372,30109179,Calidad,0.56,USD,General,32703372,yashdani,2022-04-23T07:25:32Z,2022-04-23T07:27:16Z
33,43357520,30109179,Mint leaves and garlic bread ,1.24,USD,Groceries,43357520,Meet,2022-04-21T18:46:11Z,2022-04-21T18:46:11Z
34,43357520,29433704,Laundary ,1.25,USD,General,43357520,Meet,2022-04-21T18:40:20Z,2022-04-21T18:40:20Z
35,27555627,30109179,Strawberries ,3.19,USD,General,27555627,Geet,2022-04-21T07:41:08Z,2022-04-21T07:41:08Z
36,27555627,30109179,Swiss miss,2.79,USD,General,27555627,Geet,2022-04-21T07:40:50Z,2022-04-21T07:40:50Z
37,27555627,30109179,Belvita,7.98,USD,General,27555627,Geet,2022-04-21T07:40:33Z,2022-04-21T07:40:33Z
38,27555627,30109179,Cleaning wipes,0.49,USD,Cleaning,27555627,Geet,2022-04-21T07:39:03Z,2022-04-21T07:39:03Z
39,46379417,30109179,Durum Roti *4,7.32,USD,Dining out,46379417,swapnilarya68,2022-04-21T04:08:33Z,2022-04-21T04:11:21Z
40,27555627,30109179,"Milk, yogurt, chocolate, zucchini",14.84,USD,Groceries,27555627,Geet,2022-04-19T08:08:59Z,2022-04-19T08:08:59Z
41,27555627,30109179,Veggies,2.35,USD,Groceries,27555627,Geet,2022-04-19T08:07:38Z,2022-04-19T08:07:38Z
42,27555627,30109179,Paneer paratha,3.0,USD,Dining out,27555627,Geet,2022-04-19T04:50:36Z,2022-04-19T04:50:36Z
43,46379417,30109179,Yoghurt,0.87,USD,General,46379417,swapnilarya68,2022-04-18T21:45:32Z,2022-04-18T21:45:32Z
44,46379417,30109179,Onions,1.7,USD,Groceries,46379417,swapnilarya68,2022-04-18T21:45:20Z,2022-04-18T21:45:20Z
45,27555627,29433704,Pizza,4.38,USD,Dining out,27555627,Geet,2022-04-18T18:21:17Z,2022-04-18T18:21:17Z
46,32703372,29433704,Filter,4.46,USD,Household supplies,32703372,yashdani,2022-04-16T03:50:24Z,2022-04-16T03:50:24Z
47,27555627,30109179,Garlic naan,1.34,USD,Groceries,27555627,Geet,2022-04-15T04:30:34Z,2022-04-15T04:30:34Z
48,32703372,29433704,SocalGas,2.17,USD,General,32703372,yashdani,2022-04-12T21:03:02Z,2022-04-12T21:03:02Z
49,43357520,29433704,Sourav share,0.0,USD,General,43357520,Meet,2022-04-12T21:01:10Z,2022-04-12T21:01:10Z
50,27555627,30109179,Green peppers,0.69,USD,General,27555627,Geet,2022-04-12T05:42:34Z,2022-04-12T05:42:34Z
51,43357520,30109179,Tofu,0.42,USD,General,43357520,Meet,2022-04-12T05:40:14Z,2022-04-12T05:40:14Z
52,43357520,30109179,Cereal ,4.29,USD,Groceries,43357520,Meet,2022-04-12T05:39:10Z,2022-04-12T05:39:10Z
53,43357520,30109179,Peppers serrano,0.08,USD,General,43357520,Meet,2022-04-12T05:39:02Z,2022-04-12T05:39:02Z
54,43357520,30109179,Brocolli,0.48,USD,General,43357520,Meet,2022-04-12T05:38:51Z,2022-04-12T05:38:51Z
55,43357520,30109179,Oranges ,6.0,USD,General,43357520,Meet,2022-04-12T05:37:42Z,2022-04-12T05:37:42Z
56,43357520,30109179,Potatoes,1.0,USD,General,43357520,Meet,2022-04-12T05:37:33Z,2022-04-12T05:37:33Z
57,43357520,30109179,Bkueberry,7.0,USD,General,43357520,Meet,2022-04-12T05:37:24Z,2022-04-12T05:37:24Z
58,43357520,30109179,Raspberry,3.49,USD,General,43357520,Meet,2022-04-12T05:37:14Z,2022-04-12T05:37:14Z
59,43357520,30109179,Coca cola,2.36,USD,Groceries,43357520,Meet,2022-04-12T05:36:58Z,2022-04-12T05:36:58Z
60,43357520,30109179,Coke le,2.17,USD,General,43357520,Meet,2022-04-12T05:32:23Z,2022-04-12T05:36:24Z
61,43357520,30109179,Pretzels ,5.0,USD,General,43357520,Meet,2022-04-12T05:31:47Z,2022-04-12T05:31:47Z
62,43357520,30109179,Crisps,2.49,USD,General,43357520,Meet,2022-04-12T05:31:05Z,2022-04-12T05:31:05Z
63,43357520,30109179,Cilantro,0.32,USD,General,43357520,Meet,2022-04-12T05:27:52Z,2022-04-12T05:27:52Z
64,46379417,30109179,Bhindi,1.42,USD,General,46379417,swapnilarya68,2022-04-11T03:26:30Z,2022-04-11T03:26:30Z
65,46379417,30109179,Nanak Paneer,1.0,USD,General,46379417,swapnilarya68,2022-04-11T03:26:17Z,2022-04-11T03:26:17Z
66,46379417,30109179,Jeera,2.5,USD,General,46379417,swapnilarya68,2022-04-11T03:26:01Z,2022-04-11T03:26:01Z
67,46379417,30109179,Durum Roti,2.99,USD,Dining out,46379417,swapnilarya68,2022-04-11T03:25:42Z,2022-04-11T03:25:42Z
68,46379417,30109179,Cane Sugar,0.87,USD,General,46379417,swapnilarya68,2022-04-10T00:55:50Z,2022-05-01T18:21:12Z
69,46379417,30109179,Ralphs,3.2,USD,General,46379417,swapnilarya68,2022-04-10T00:55:18Z,2022-04-10T00:55:19Z
70,27555627,30109179,Garlic Naan,1.16,USD,Groceries,27555627,Geet,2022-04-09T06:34:25Z,2022-04-09T06:34:25Z
71,32703372,30109179,Papad,0.49,USD,General,32703372,yashdani,2022-04-09T01:57:01Z,2022-04-09T01:57:01Z
