,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,46379417,30109179,Bell Peppers,0.28,USD,General,46379417,swapnilarya68,2022-09-01T06:45:53Z,2022-09-01T06:45:53Z
1,32703372,30109179,Roti,2.49,USD,Dining out,32703372,yashdani,2022-08-31T18:15:44Z,2022-08-31T18:15:44Z
2,32703372,30109179,Bread,0.0,USD,Groceries,32703372,yashdani,2022-08-31T18:15:23Z,2022-08-31T18:15:23Z
3,27555627,30109179,Tofu,0.35,USD,General,27555627,Geet,2022-08-30T17:14:25Z,2022-08-30T17:14:25Z
4,43357520,30109179,Tofu,0.45,USD,General,43357520,Meet,2022-08-30T17:11:49Z,2022-08-30T17:15:53Z
5,43357520,30109179,Soy yogurt,5.99,USD,General,43357520,Meet,2022-08-30T17:11:13Z,2022-08-30T17:11:13Z
6,43357520,30109179,Onion red ,0.62,USD,Groceries,43357520,Meet,2022-08-30T17:10:51Z,2022-08-30T17:10:51Z
7,43357520,30109179,Avocado,0.79,USD,General,43357520,Meet,2022-08-30T17:10:27Z,2022-08-30T17:10:27Z
8,43357520,30109179,Onions white,0.57,USD,Groceries,43357520,Meet,2022-08-30T17:09:46Z,2022-08-30T17:09:46Z
9,43357520,30109179,Bananas and orange ,5.55,USD,Groceries,43357520,Meet,2022-08-30T17:09:17Z,2022-08-30T17:09:17Z
10,46379417,30109179,Tomato and Avocado,1.69,USD,Groceries,46379417,swapnilarya68,2022-08-28T05:06:16Z,2022-08-28T05:06:16Z
11,46379417,30109179,Cheese,1.98,USD,Groceries,46379417,swapnilarya68,2022-08-28T02:37:20Z,2022-08-28T02:37:22Z
12,46379417,30109179,Pizza Stuff and Pita Bread,3.91,USD,Groceries,46379417,swapnilarya68,2022-08-28T02:36:30Z,2022-08-28T02:36:31Z
13,46379417,30109179,Black beans,0.2,USD,Groceries,46379417,swapnilarya68,2022-08-27T02:40:55Z,2022-08-27T02:40:55Z
14,43357520,29433704,Drying mat knife set sink strainer soap pump ,1.1,USD,General,43357520,Meet,2022-08-26T17:52:42Z,2022-08-26T17:52:42Z
15,43357520,30109179,Fenugreek(methi),0.4,USD,General,43357520,Meet,2022-08-26T17:46:20Z,2022-08-26T17:46:20Z
16,43357520,29433704,Avocado tool and paper towel holder ,0.55,USD,Household supplies,43357520,Meet,2022-08-26T17:45:30Z,2022-08-26T17:45:30Z
17,43357520,30109179,Roma tomatoes and serrano pepper ,0.72,USD,General,43357520,Meet,2022-08-30T17:07:10Z,2022-08-30T17:07:10Z
18,46379417,30109179,Bell Peppers and Yogurt,1.35,USD,Groceries,46379417,swapnilarya68,2022-08-25T01:04:43Z,2022-08-25T01:04:43Z
19,46379417,30109179,Yoghurt and Bell Pappers,1.79,USD,General,46379417,swapnilarya68,2022-08-25T01:00:09Z,2022-08-25T01:04:26Z
20,46379417,30109179,Ginger,0.25,USD,Groceries,46379417,swapnilarya68,2022-08-25T00:55:52Z,2022-08-25T00:55:52Z
21,46379417,30109179,Tomatoes,1.07,USD,General,46379417,swapnilarya68,2022-08-25T00:54:55Z,2022-08-25T00:54:55Z
22,43357520,29433704,Bath mat + soap pump + trash can,6.15,USD,Household supplies,43357520,Meet,2022-08-16T20:31:21Z,2022-08-16T20:31:21Z
23,43357520,29433704,Dish drainer,0.66,USD,Household supplies,43357520,Meet,2022-08-16T20:23:34Z,2022-08-16T20:24:22Z
24,43357520,30109179,Salt,0.2,USD,Groceries,43357520,Meet,2022-08-16T20:19:49Z,2022-08-16T20:19:49Z
25,43357520,30109179,Soy sauce,0.4,USD,General,43357520,Meet,2022-08-16T20:19:40Z,2022-08-16T20:19:40Z
26,27555627,29433704,Electricity bill,4.14,USD,Electricity,27555627,Geet,2022-08-07T02:04:29Z,2022-08-07T02:04:29Z
27,46379417,29433704,Shower Rings and Curtains ,2.99,USD,Household supplies,46379417,swapnilarya68,2022-08-01T23:40:53Z,2022-08-01T23:40:53Z
28,43357520,30109179,Scotch tape,0.75,USD,General,43357520,Meet,2022-08-01T18:35:57Z,2022-08-01T18:35:57Z
29,43357520,29433704,Microwave ,14.23,USD,General,43357520,Meet,2022-08-01T18:33:32Z,2022-08-01T18:33:32Z
