,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,32703372,29433704,Water and sewer,19.28,USD,Water,32703372,yashdani,2023-12-30T02:20:27Z,2023-12-30T02:20:27Z
1,32703372,29433704,Gas bill,2.17,USD,Heat/gas,32703372,yashdani,2023-12-27T13:13:28Z,2023-12-27T13:13:28Z
2,46379417,29433704,Blink dtla,9.76,USD,General,46379417,swapnilarya68,2023-12-27T03:43:59Z,2023-12-27T03:43:59Z
3,46379417,29433704,Coco ichibanya,27.28,USD,General,46379417,swapnilarya68,2023-12-27T03:42:38Z,2023-12-27T03:42:38Z
4,46379417,30109179,Ralphs,14.55,USD,General,46379417,swapnilarya68,2023-12-26T01:30:11Z,2023-12-26T01:30:12Z
5,46379417,30109179,Pasta stuff,2.0,USD,Groceries,46379417,swapnilarya68,2023-12-26T01:27:04Z,2023-12-26T01:27:04Z
6,46379417,29433704,Blink,16.43,USD,General,46379417,swapnilarya68,2023-12-25T18:41:14Z,2023-12-25T18:41:14Z
7,43357520,29433704,Manas,6.02,USD,General,43357520,Meet,2023-12-23T17:07:33Z,2023-12-23T17:07:33Z
8,43357520,29433704,Trader joes,2.68,USD,Groceries,43357520,Meet,2023-12-23T17:05:55Z,2023-12-23T17:05:55Z
9,32703372,29433704,Blink DTLA,5.48,USD,General,32703372,yashdani,2023-12-23T02:13:43Z,2023-12-23T02:13:43Z
10,32703372,,Cash,10.0,USD,General,32703372,yashdani,2023-12-21T23:13:47Z,2023-12-21T23:13:47Z
11,43357520,29433704,Shoe rack,0.0,USD,General,43357520,Meet,2023-12-19T00:44:04Z,2023-12-19T00:44:04Z
12,46379417,29433704,Coco ichibanya,24.74,USD,General,46379417,swapnilarya68,2023-12-18T21:49:19Z,2023-12-18T21:49:19Z
13,43357520,29433704,Parking coco ichi banye ,2.0,USD,Parking,43357520,Meet,2023-12-17T22:22:26Z,2023-12-17T22:22:26Z
14,32703372,29433704,Microwave yash,0.0,USD,General,32703372,yashdani,2023-12-17T22:20:12Z,2023-12-17T22:20:12Z
15,46379417,30109179,"Watermelon,cheetos",5.04,USD,Groceries,46379417,swapnilarya68,2023-12-17T19:10:43Z,2023-12-17T19:10:43Z
16,46379417,30109179,"Serrano,tomato,onion,spinach",4.28,USD,Groceries,46379417,swapnilarya68,2023-12-17T19:10:15Z,2023-12-17T19:10:15Z
17,46379417,30109179,"Sprite,dannon,banana",11.72,USD,Groceries,46379417,swapnilarya68,2023-12-17T19:08:28Z,2023-12-17T19:08:28Z
18,46379417,29433704,Blink coco,5.47,USD,General,46379417,swapnilarya68,2023-12-17T07:01:37Z,2023-12-17T07:01:37Z
19,46379417,30109179,Pasta stuff,3.16,USD,Groceries,46379417,swapnilarya68,2023-12-17T02:02:45Z,2023-12-17T02:14:56Z
20,46379417,30109179,Ginger and bell peppers,1.19,USD,Groceries,46379417,swapnilarya68,2023-12-15T18:13:12Z,2023-12-15T18:13:12Z
21,46379417,30109179,Yoghurt,1.33,USD,General,46379417,swapnilarya68,2023-12-15T18:12:36Z,2023-12-15T18:12:36Z
22,43357520,30109179,Manas ,7.49,USD,General,43357520,Meet,2023-12-15T04:13:50Z,2023-12-15T04:13:50Z
23,43357520,30109179,Ralphs,10.77,USD,General,43357520,Meet,2023-12-15T04:13:26Z,2023-12-15T04:13:26Z
24,6475068,,Settle all balances,0.0,USD,General,6475068,Nikhil,2023-12-14T21:26:40Z,2023-12-14T21:26:40Z
25,6475068,30109179,Settle all balances,11.98,USD,General,6475068,Nikhil,2023-12-14T21:26:40Z,2023-12-14T21:26:40Z
26,6475068,29433704,Settle all balances,54.02,USD,General,6475068,Nikhil,2023-12-14T21:26:40Z,2023-12-14T21:26:40Z
27,6475068,,Payment,66.0,USD,General,6475068,Nikhil,2023-12-14T21:26:40Z,2023-12-14T21:26:40Z
28,46379417,30109179,Naman hd ice cream,0.83,USD,Groceries,46379417,swapnilarya68,2023-12-14T18:43:05Z,2023-12-14T18:43:05Z
29,32703372,30109179,Green beans,1.1,USD,Groceries,32703372,yashdani,2023-12-14T17:29:01Z,2023-12-14T17:29:01Z
30,32703372,58416563,Payment,0.0,USD,General,32703372,yashdani,2023-12-14T10:08:33Z,2023-12-14T10:08:33Z
31,46379417,29433704,Laundry,10.0,USD,Services,46379417,swapnilarya68,2023-12-14T03:59:33Z,2023-12-14T03:59:33Z
32,46379417,29433704,Blaze,10.06,USD,General,46379417,swapnilarya68,2023-12-13T22:00:12Z,2023-12-13T22:00:12Z
33,32703372,30109179,Burger cheese,0.6,USD,Groceries,32703372,yashdani,2023-12-13T04:48:12Z,2023-12-13T04:48:12Z
34,32703372,30109179,Pizza cheese - diwali night,1.39,USD,Groceries,32703372,yashdani,2023-12-13T04:47:31Z,2023-12-13T04:47:31Z
35,32703372,30109179,Cream cheese,4.79,USD,Groceries,32703372,yashdani,2023-12-13T04:41:18Z,2023-12-13T04:41:18Z
36,32703372,30109179,Yogurt,2.74,USD,Groceries,32703372,yashdani,2023-12-13T04:40:05Z,2023-12-13T04:40:05Z
37,32703372,30109179,Chole,0.2,USD,General,32703372,yashdani,2023-12-13T04:39:48Z,2023-12-13T04:39:48Z
38,32703372,30109179,Chole,0.5,USD,General,32703372,yashdani,2023-12-13T04:39:19Z,2023-12-13T04:39:19Z
39,32703372,29433704,Chole,0.5,USD,General,32703372,yashdani,2023-12-13T04:38:58Z,2023-12-13T04:39:02Z
40,32703372,29433704,Comb remaining,0.0,USD,General,32703372,yashdani,2023-12-13T04:38:48Z,2023-12-13T04:38:48Z
41,32703372,29433704,Blink,0.0,USD,General,32703372,yashdani,2023-12-13T00:06:31Z,2023-12-13T00:06:31Z
42,32703372,30109179,Roti,4.16,USD,Dining out,32703372,yashdani,2023-12-12T23:00:21Z,2023-12-12T23:00:21Z
43,27555627,,Settle all balances,0.0,USD,General,27555627,Geet,2023-12-12T16:31:27Z,2023-12-12T16:31:27Z
44,27555627,58416563,Settle all balances,104.01,USD,General,27555627,Geet,2023-12-12T16:31:27Z,2023-12-12T16:31:27Z
45,27555627,30109179,Settle all balances,54.11,USD,General,27555627,Geet,2023-12-12T16:31:27Z,2023-12-12T16:31:27Z
46,27555627,29433704,Settle all balances,160.38,USD,General,27555627,Geet,2023-12-12T16:31:27Z,2023-12-12T16:31:27Z
47,27555627,,Payment,267.63,USD,General,27555627,Geet,2023-12-12T16:31:26Z,2023-12-12T16:31:27Z
48,27555627,58416563,Pasta,2.62,USD,Groceries,27555627,Geet,2023-12-12T16:27:53Z,2023-12-12T16:27:53Z
49,43357520,57713103,Payment,0.98,USD,General,43357520,Meet,2023-12-12T06:14:38Z,2023-12-12T06:14:38Z
50,43357520,,Payment,53.01,USD,General,43357520,Meet,2023-12-12T06:13:31Z,2023-12-12T06:13:31Z
51,27555627,30109179,"Pasta, bell peppers, marinara",1.0,USD,Groceries,27555627,Geet,2023-12-12T05:38:21Z,2023-12-12T05:38:21Z
52,27555627,30109179,Burger buns,1.5,USD,Dining out,27555627,Geet,2023-12-12T05:37:28Z,2023-12-12T05:37:28Z
53,43357520,58416563,Water bottle,1.5,USD,Groceries,43357520,Meet,2023-12-12T05:35:37Z,2023-12-12T05:35:37Z
54,43357520,58416563,Royal India ,32.89,USD,General,43357520,Meet,2023-12-12T05:34:09Z,2023-12-14T04:23:12Z
55,32703372,29433704,Water and sewer,18.66,USD,Water,32703372,yashdani,2023-12-12T05:33:30Z,2023-12-12T05:33:30Z
56,27555627,30109179,Manas cheese and maggi,2.75,USD,Groceries,27555627,Geet,2023-12-12T05:33:26Z,2023-12-12T05:33:26Z
57,27555627,58416563,Joshua,7.5,USD,General,27555627,Geet,2023-12-12T05:31:55Z,2023-12-12T05:31:55Z
58,27555627,58416563,Fuel,12.61,USD,Gas/fuel,27555627,Geet,2023-12-12T05:31:49Z,2023-12-12T05:31:49Z
59,32703372,58416563,"Surcharge, tax, and tip",3.15,USD,General,32703372,yashdani,2023-12-11T05:51:02Z,2023-12-11T05:51:02Z
60,32703372,58416563,Tres leche pancakes,13.0,USD,Groceries,32703372,yashdani,2023-12-11T05:49:40Z,2023-12-11T05:49:40Z
61,32703372,58416563,Ghirardelli candies,2.03,USD,General,32703372,yashdani,2023-12-11T05:19:57Z,2023-12-11T05:19:57Z
62,32703372,58416563,Tip and gratuity,6.12,USD,General,32703372,yashdani,2023-12-11T05:16:56Z,2023-12-11T05:16:56Z
