,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,43357520,30109179,Channa masala ,2.99,USD,General,43357520,Meet,2023-02-26T03:30:42Z,2023-02-26T03:30:42Z
1,27555627,29433704,Stellar,7.27,USD,General,27555627,Geet,2023-02-26T00:19:11Z,2023-02-26T00:19:11Z
2,32703372,29433704,Shower filter,20.0,USD,Household supplies,32703372,yashdani,2023-02-25T07:00:36Z,2023-02-25T07:00:36Z
3,27555627,43180781,Payment,116.18,USD,General,27555627,Geet,2023-02-24T04:40:10Z,2023-02-24T04:40:10Z
4,27555627,30109179,Payment,0.0,USD,General,27555627,Geet,2023-02-24T04:39:43Z,2023-02-24T04:39:43Z
5,27555627,30109179,Bell peppers,0.56,USD,General,27555627,Geet,2023-02-24T04:38:40Z,2023-02-24T04:38:40Z
6,27555627,30109179,Roti,5.0,USD,Dining out,27555627,Geet,2023-02-24T04:36:26Z,2023-02-24T04:36:26Z
7,27555627,30109179,Tofu,0.72,USD,General,27555627,Geet,2023-02-24T04:36:09Z,2023-02-24T04:36:09Z
8,27555627,30109179,Garlic,0.2,USD,Groceries,27555627,Geet,2023-02-24T04:35:50Z,2023-02-24T04:35:50Z
9,27555627,30109179,Onions,0.75,USD,Groceries,27555627,Geet,2023-02-24T04:35:43Z,2023-02-24T04:35:43Z
10,27555627,30109179,Tomato,2.6,USD,Groceries,27555627,Geet,2023-02-24T04:35:32Z,2023-02-24T04:35:32Z
11,41535264,30109179,cilantro,0.2,USD,General,41535264,Akshaya,2023-02-22T05:45:14Z,2023-02-22T05:45:14Z
12,41535264,30109179,onion,0.61,USD,Groceries,41535264,Akshaya,2023-02-22T05:45:05Z,2023-02-22T05:45:05Z
13,41535264,30109179,tomatoes ,0.77,USD,General,41535264,Akshaya,2023-02-22T05:44:54Z,2023-02-22T05:44:54Z
14,41535264,30109179,salt,0.25,USD,Groceries,41535264,Akshaya,2023-02-22T05:44:30Z,2023-02-22T05:44:30Z
15,27555627,29433704,Pizza,2.19,USD,Dining out,27555627,Geet,2023-02-21T09:06:28Z,2023-02-21T09:06:28Z
16,32703372,30109179,Yogurt,0.0,USD,Groceries,32703372,yashdani,2023-02-20T07:19:08Z,2023-02-20T07:19:08Z
17,27555627,30109179,Yogurt ,1.0,USD,Groceries,27555627,Geet,2023-02-20T01:00:59Z,2023-02-20T01:00:59Z
18,41535264,29433704,abhiruchi ,8.0,USD,General,41535264,Akshaya,2023-02-18T04:57:23Z,2023-02-18T04:57:23Z
19,46379417,30109179,Tofu,0.36,USD,General,46379417,swapnilarya68,2023-02-18T01:02:20Z,2023-02-18T01:02:20Z
20,46379417,30109179,Garlic,0.2,USD,Groceries,46379417,swapnilarya68,2023-02-18T01:02:12Z,2023-02-18T01:02:12Z
21,46379417,30109179,Cilantro ,0.2,USD,General,46379417,swapnilarya68,2023-02-18T01:02:05Z,2023-02-18T01:02:05Z
22,46379417,30109179,Potato ,0.99,USD,Groceries,46379417,swapnilarya68,2023-02-18T01:01:58Z,2023-02-18T01:01:58Z
23,46379417,30109179,Onions,0.57,USD,Groceries,46379417,swapnilarya68,2023-02-18T01:01:49Z,2023-02-18T01:01:49Z
24,46379417,30109179,Tomatoes ,1.03,USD,General,46379417,swapnilarya68,2023-02-18T01:01:43Z,2023-02-18T01:01:43Z
25,46379417,30109179,Ginger ,0.4,USD,Groceries,46379417,swapnilarya68,2023-02-18T01:01:34Z,2023-02-18T01:01:34Z
26,32703372,,Blueberry,3.99,USD,General,32703372,yashdani,2023-02-15T06:22:50Z,2023-02-15T06:22:50Z
27,32703372,,Bananas,1.73,USD,Groceries,32703372,yashdani,2023-02-15T06:22:37Z,2023-02-15T06:22:37Z
28,32703372,,Apples,4.99,USD,Groceries,32703372,yashdani,2023-02-15T06:22:26Z,2023-02-15T06:22:26Z
29,32703372,,Spinach,4.49,USD,General,32703372,yashdani,2023-02-15T06:22:13Z,2023-02-15T06:22:13Z
30,32703372,30109179,Peppers,0.07,USD,General,32703372,yashdani,2023-02-15T06:21:55Z,2023-02-15T06:21:55Z
31,32703372,30109179,Icecream,0.0,USD,General,32703372,yashdani,2023-02-15T06:21:28Z,2023-02-15T06:21:28Z
32,43357520,29433704,Yash amazon books,16.72,USD,Home - Other,43357520,Meet,2023-02-14T06:54:02Z,2023-02-18T21:50:56Z
33,43357520,30109179,Indian Naan flat bread ,1.6,USD,Groceries,43357520,Meet,2023-02-14T06:51:33Z,2023-02-14T06:51:33Z
34,32703372,,Chipotle,9.96,USD,Dining out,32703372,yashdani,2023-02-12T23:39:13Z,2023-02-12T23:39:13Z
35,32703372,30109179,Chipotle,0.0,USD,Dining out,32703372,yashdani,2023-02-12T23:38:55Z,2023-02-12T23:38:55Z
36,43357520,30109179,Whole milk for more paneer ,0.76,USD,Groceries,43357520,Meet,2023-02-12T07:44:54Z,2023-02-12T07:44:54Z
37,27555627,30109179,Corn starch and sriracha,1.22,USD,General,27555627,Geet,2023-02-12T07:44:56Z,2023-02-12T07:44:56Z
38,27555627,30109179,Bell peppers,0.52,USD,General,27555627,Geet,2023-02-12T07:43:55Z,2023-02-12T07:43:55Z
39,27555627,30109179,Spring onions ,0.2,USD,Groceries,27555627,Geet,2023-02-12T07:43:43Z,2023-02-12T07:43:43Z
40,27555627,30109179,Lime,0.4,USD,General,27555627,Geet,2023-02-12T07:43:30Z,2023-02-12T07:43:30Z
41,43357520,30109179,Whole milk for paneer ,0.75,USD,Groceries,43357520,Meet,2023-02-11T19:03:10Z,2023-02-11T19:03:10Z
42,43357520,29433704,Pan brush,0.86,USD,General,43357520,Meet,2023-02-11T19:02:44Z,2023-02-11T19:02:44Z
43,41535264,30109179,onions ,0.69,USD,Groceries,41535264,Akshaya,2023-02-11T18:56:32Z,2023-02-11T18:56:32Z
44,41535264,30109179,tofu,0.36,USD,General,41535264,Akshaya,2023-02-11T18:55:11Z,2023-02-11T18:55:11Z
45,41535264,30109179,okra,1.72,USD,General,41535264,Akshaya,2023-02-11T18:54:57Z,2023-02-11T18:54:57Z
46,43357520,30109179,Trader joes ,2.88,USD,Groceries,43357520,Meet,2023-02-11T02:28:02Z,2023-02-11T02:28:02Z
47,46379417,30109179,Bell peppers,0.41,USD,General,46379417,swapnilarya68,2023-02-10T02:23:07Z,2023-02-10T02:23:07Z
48,43357520,30109179,Dining hall,14.75,USD,General,43357520,Meet,2023-02-08T23:01:44Z,2023-02-08T23:01:44Z
49,43357520,30109179,Carrots,0.34,USD,General,43357520,Meet,2023-02-08T17:45:23Z,2023-02-08T17:45:23Z
50,43357520,30109179,French bread ,0.63,USD,Groceries,43357520,Meet,2023-02-08T17:45:07Z,2023-02-08T17:45:07Z
51,43357520,30109179,Avocado,0.5,USD,General,43357520,Meet,2023-02-08T17:44:55Z,2023-02-08T17:44:55Z
52,43357520,30109179,Ricotta cheese ,1.0,USD,Groceries,43357520,Meet,2023-02-08T17:44:27Z,2023-02-08T17:44:27Z
53,46379417,30109179,Onions,0.61,USD,Groceries,46379417,swapnilarya68,2023-02-06T04:09:06Z,2023-02-06T04:09:06Z
54,46379417,30109179,Tofu,0.35,USD,General,46379417,swapnilarya68,2023-02-06T04:08:52Z,2023-02-06T04:08:52Z
55,46379417,30109179,Tomatoes,2.39,USD,General,46379417,swapnilarya68,2023-02-06T04:08:43Z,2023-02-06T04:08:43Z
56,46379417,30109179,Toor daal,1.8,USD,General,46379417,swapnilarya68,2023-02-06T04:08:05Z,2023-02-06T04:08:05Z
57,46379417,29433704,Pur filter,6.77,USD,Household supplies,46379417,swapnilarya68,2023-02-06T00:15:49Z,2023-02-06T00:15:49Z
58,41535264,30109179,capsicum,0.6,USD,General,41535264,Akshaya,2023-02-04T02:44:42Z,2023-02-04T02:44:42Z
59,27555627,30109179,Cinnamon sticks,0.6,USD,General,27555627,Geet,2023-02-03T21:03:39Z,2023-02-03T21:03:39Z
