,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,46379417,30109179,Shower Rings and Curtains,3.75,USD,Household supplies,46379417,swapnilarya68,2022-07-31T18:00:29Z,2022-08-01T23:40:38Z
1,43357520,30109179,Mustard seeds,0.75,USD,General,43357520,Meet,2022-07-26T17:26:32Z,2022-07-26T17:26:32Z
2,43357520,30109179,Tomato basil marinara,0.42,USD,Groceries,43357520,Meet,2022-07-21T08:08:07Z,2022-07-21T08:08:07Z
3,32703372,30109179,Onions,1.13,USD,Groceries,32703372,yashdani,2022-07-18T04:05:00Z,2022-07-18T04:05:00Z
4,32703372,30109179,Tofu,0.59,USD,General,32703372,yashdani,2022-07-18T04:04:46Z,2022-07-18T04:04:46Z
5,32703372,30109179,Roma Tomatoes,1.16,USD,General,32703372,yashdani,2022-07-18T04:02:45Z,2022-07-18T04:02:45Z
6,32703372,30109179,Milk,0.0,USD,Groceries,32703372,yashdani,2022-07-18T04:02:05Z,2022-07-18T04:02:05Z
7,32703372,30109179,Vermicelli,0.0,USD,General,32703372,yashdani,2022-07-18T04:01:47Z,2022-07-18T04:01:47Z
8,32703372,30109179,Potatoes,1.66,USD,General,32703372,yashdani,2022-07-18T04:01:21Z,2022-07-18T04:01:21Z
9,32703372,30109179,Avocado,0.67,USD,General,32703372,yashdani,2022-07-18T04:01:05Z,2022-07-18T04:01:05Z
10,32703372,30109179,Cabbage,0.73,USD,General,32703372,yashdani,2022-07-18T03:59:36Z,2022-07-18T03:59:36Z
11,43357520,30109179,Target bread ,0.43,USD,Groceries,43357520,Meet,2022-07-18T02:12:11Z,2022-07-18T02:12:11Z
12,43357520,29433704,Microwave ,17.79,USD,General,43357520,Meet,2022-07-18T02:09:52Z,2022-08-01T18:33:19Z
13,43357520,29433704,Floor lamp ,11.08,USD,General,43357520,Meet,2022-07-14T05:09:00Z,2022-08-16T20:25:57Z
14,32703372,30109179,Serrano,0.0,USD,General,32703372,yashdani,2022-07-13T08:07:47Z,2022-07-13T08:07:47Z
15,32703372,30109179,Onions,0.0,USD,Groceries,32703372,yashdani,2022-07-13T08:07:25Z,2022-07-13T08:07:25Z
16,32703372,30109179,Tomatoes,0.52,USD,General,32703372,yashdani,2022-07-13T08:07:13Z,2022-07-13T08:07:56Z
17,32703372,30109179,Tomatoes,0.0,USD,General,32703372,yashdani,2022-07-13T08:07:01Z,2022-07-13T08:07:01Z
18,32703372,29433704,Clorox,0.0,USD,General,32703372,yashdani,2022-07-12T19:45:28Z,2022-07-12T19:45:28Z
19,32703372,30109179,Beans,0.28,USD,Groceries,32703372,yashdani,2022-07-12T19:44:23Z,2022-07-13T14:49:20Z
20,32703372,30109179,Beans,0.28,USD,Groceries,32703372,yashdani,2022-07-12T19:44:13Z,2022-07-12T19:44:13Z
21,46379417,30109179,Garlic Serrano,0.57,USD,Groceries,46379417,swapnilarya68,2022-07-12T18:24:33Z,2022-07-12T18:24:33Z
22,27555627,29433704,Electricity - till Jun 31,11.38,USD,Electricity,27555627,Geet,2022-07-12T17:52:27Z,2022-07-16T17:19:59Z
23,46379417,29433704,Milk,0.68,USD,Groceries,46379417,swapnilarya68,2022-07-11T00:42:03Z,2022-07-11T00:42:11Z
24,46379417,30109179,Roti Durum,3.0,USD,Dining out,46379417,swapnilarya68,2022-07-07T19:11:58Z,2022-07-07T20:04:18Z
25,46379417,30109179,Bread,0.34,USD,Groceries,46379417,swapnilarya68,2022-07-07T19:11:28Z,2022-07-07T19:11:28Z
26,46379417,30109179,Bell Peppers,0.69,USD,General,46379417,swapnilarya68,2022-07-07T19:11:11Z,2022-07-07T19:11:11Z
27,43357520,30109179,Everything bagels,1.14,USD,General,43357520,Meet,2022-07-07T19:11:04Z,2022-07-07T19:11:04Z
28,46379417,30109179,Tomatoes,0.96,USD,General,46379417,swapnilarya68,2022-07-07T19:10:16Z,2022-07-07T19:10:16Z
29,46379417,29433704,Spectrum ,13.74,USD,General,46379417,swapnilarya68,2022-07-07T07:14:55Z,2022-07-07T07:14:55Z
30,43357520,29433704,Uber ,11.11,USD,Taxi,43357520,Meet,2022-07-05T05:50:52Z,2022-07-05T05:50:52Z
