,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,27555627,30109179,Amul Cheese,1.2,USD,Groceries,27555627,Geet,2023-03-29T02:35:31Z,2023-04-01T20:37:38Z
1,27555627,43180781,Payment,35.49,USD,General,27555627,Geet,2023-03-28T07:06:49Z,2023-03-28T07:06:49Z
2,27555627,30109179,Payment,0.0,USD,General,27555627,Geet,2023-03-28T07:06:39Z,2023-03-28T07:06:39Z
3,27555627,30109179,Kasoori Methi,1.0,USD,General,27555627,Geet,2023-03-28T07:05:53Z,2023-03-28T07:05:53Z
4,27555627,30109179,Rotis,8.2,USD,General,27555627,Geet,2023-03-28T07:05:42Z,2023-03-28T07:05:42Z
5,27555627,30109179,Tofu,0.7,USD,General,27555627,Geet,2023-03-28T07:04:17Z,2023-03-28T07:04:17Z
6,27555627,30109179,Red onions,0.43,USD,Groceries,27555627,Geet,2023-03-28T07:03:55Z,2023-03-28T07:03:55Z
7,27555627,30109179,Tomator,0.55,USD,Groceries,27555627,Geet,2023-03-28T07:03:29Z,2023-03-28T07:03:29Z
8,27555627,30109179,Onions,0.74,USD,Groceries,27555627,Geet,2023-03-28T07:03:23Z,2023-03-28T07:03:23Z
9,27555627,30109179,Lettuce,0.4,USD,General,27555627,Geet,2023-03-28T07:03:16Z,2023-03-28T07:03:16Z
10,27555627,30109179,Potatoes ,1.0,USD,General,27555627,Geet,2023-03-28T07:02:44Z,2023-03-28T07:02:44Z
11,27555627,30109179,Minced garlic,0.8,USD,Groceries,27555627,Geet,2023-03-28T07:02:34Z,2023-03-28T07:02:34Z
12,27555627,30109179,Buns,0.72,USD,General,27555627,Geet,2023-03-28T07:01:45Z,2023-03-28T07:01:45Z
13,46379417,29433704,Shuttlecock ,3.0,USD,General,46379417,swapnilarya68,2023-03-27T23:04:21Z,2023-03-27T23:04:21Z
14,32703372,,Yogurt,4.0,USD,Groceries,32703372,yashdani,2023-03-26T04:03:48Z,2023-03-26T04:03:48Z
15,32703372,,Bananas,1.25,USD,Groceries,32703372,yashdani,2023-03-26T04:03:32Z,2023-03-26T04:03:32Z
16,32703372,,Cream cheese,4.39,USD,Groceries,32703372,yashdani,2023-03-26T04:03:20Z,2023-03-26T04:03:20Z
17,32703372,,Bagels,2.29,USD,General,32703372,yashdani,2023-03-26T04:03:03Z,2023-03-26T04:03:03Z
18,32703372,,Channa masala,2.99,USD,General,32703372,yashdani,2023-03-26T04:02:54Z,2023-03-26T04:02:54Z
19,32703372,,Popcorn,2.49,USD,Groceries,32703372,yashdani,2023-03-26T04:02:42Z,2023-03-26T04:02:42Z
20,32703372,,Chips,1.99,USD,Groceries,32703372,yashdani,2023-03-26T04:02:31Z,2023-03-26T04:02:31Z
21,32703372,30109179,Bell peppers,0.55,USD,General,32703372,yashdani,2023-03-26T04:02:07Z,2023-03-26T04:02:07Z
22,32703372,30109179,Vegetable burgers,0.0,USD,Dining out,32703372,yashdani,2023-03-26T04:01:50Z,2023-03-26T04:01:50Z
23,46379417,30109179,Bell peppers,1.04,USD,General,46379417,swapnilarya68,2023-03-25T02:19:06Z,2023-03-25T02:19:06Z
24,46379417,30109179,Tomatoes,2.19,USD,General,46379417,swapnilarya68,2023-03-25T02:18:45Z,2023-03-25T02:18:45Z
25,46379417,30109179,Onions ,0.73,USD,Groceries,46379417,swapnilarya68,2023-03-25T02:18:30Z,2023-03-25T02:18:30Z
26,46379417,30109179,Tofu,0.45,USD,General,46379417,swapnilarya68,2023-03-25T02:18:19Z,2023-03-25T02:18:19Z
27,46379417,30109179,Roti,6.24,USD,Dining out,46379417,swapnilarya68,2023-03-25T02:18:07Z,2023-03-25T02:18:07Z
28,27555627,30109179,Black pepper powder ,0.71,USD,General,27555627,Geet,2023-03-25T02:14:08Z,2023-03-25T02:14:08Z
29,27555627,30109179,Bell peppers,0.69,USD,General,27555627,Geet,2023-03-23T21:55:16Z,2023-03-23T21:55:22Z
30,46379417,30109179,Naan,2.0,USD,General,46379417,swapnilarya68,2023-03-17T04:35:57Z,2023-03-17T04:35:57Z
31,27555627,29433704,Papa Johns,7.19,USD,Groceries,27555627,Geet,2023-03-15T05:05:33Z,2023-03-15T05:05:33Z
32,27555627,30109179,Ralphs Tomato Onion Spinach,3.65,USD,Groceries,27555627,Geet,2023-03-15T05:03:52Z,2023-03-15T05:03:52Z
33,43357520,29433704,Chipotle,9.83,USD,Dining out,43357520,Meet,2023-03-13T19:32:37Z,2023-03-13T19:32:37Z
34,32703372,30109179,Apricot mango,1.0,USD,General,32703372,yashdani,2023-03-12T02:49:32Z,2023-03-12T02:49:32Z
35,27555627,30109179,Corn,0.2,USD,General,27555627,Geet,2023-03-09T08:49:37Z,2023-03-09T08:49:37Z
36,27555627,30109179,Serrano,0.03,USD,General,27555627,Geet,2023-03-09T08:49:01Z,2023-03-09T08:49:22Z
37,27555627,30109179,Onions,0.76,USD,Groceries,27555627,Geet,2023-03-09T08:48:52Z,2023-03-09T08:48:52Z
38,27555627,30109179,Tomato,0.75,USD,Groceries,27555627,Geet,2023-03-09T08:48:45Z,2023-03-09T08:48:45Z
39,27555627,30109179,Lime,0.2,USD,General,27555627,Geet,2023-03-09T08:48:17Z,2023-03-09T08:48:17Z
40,27555627,30109179,Chips Ahoy,1.67,USD,Groceries,27555627,Geet,2023-03-09T08:47:05Z,2023-03-09T08:47:05Z
41,43357520,30109179,Spring onion ,0.25,USD,Groceries,43357520,Meet,2023-03-08T07:44:09Z,2023-03-08T07:44:09Z
42,43357520,30109179,Bell pepper green,0.42,USD,General,43357520,Meet,2023-03-08T07:43:58Z,2023-03-08T07:43:58Z
43,43357520,30109179,Coleslaw ,0.3,USD,General,43357520,Meet,2023-03-07T02:18:24Z,2023-03-07T02:18:24Z
44,32703372,30109179,Arugula,1.9,USD,General,32703372,yashdani,2023-03-06T07:29:09Z,2023-03-06T07:29:09Z
45,32703372,30109179,Spinach,1.0,USD,General,32703372,yashdani,2023-03-06T07:27:59Z,2023-03-06T07:27:59Z
46,32703372,30109179,Swabs,0.0,USD,General,32703372,yashdani,2023-03-06T07:27:30Z,2023-03-06T07:28:35Z
47,32703372,30109179,Beans,0.34,USD,Groceries,32703372,yashdani,2023-03-06T07:27:12Z,2023-03-06T07:27:12Z
48,32703372,30109179,Popcorn,0.0,USD,Groceries,32703372,yashdani,2023-03-06T07:26:57Z,2023-03-06T07:26:57Z
49,32703372,30109179,Tortilla,1.74,USD,General,32703372,yashdani,2023-03-06T07:26:32Z,2023-03-06T07:26:42Z
50,46379417,30109179,Mango yoghurt ,0.99,USD,General,46379417,swapnilarya68,2023-03-06T06:58:46Z,2023-03-06T07:00:47Z
51,32703372,,Popcorn,2.49,USD,Groceries,32703372,yashdani,2023-03-06T06:58:27Z,2023-03-06T06:58:27Z
52,32703372,,Apples,5.99,USD,Groceries,32703372,yashdani,2023-03-06T06:58:09Z,2023-03-06T06:58:09Z
53,46379417,30109179,Plain yoghurt ,0.99,USD,General,46379417,swapnilarya68,2023-03-06T06:55:53Z,2023-03-06T06:55:53Z
54,46379417,30109179,Yoghurt plain,0.99,USD,General,46379417,swapnilarya68,2023-03-06T06:55:26Z,2023-03-06T06:55:26Z
55,46379417,30109179,Vanilla bean yogurt ,0.99,USD,Groceries,46379417,swapnilarya68,2023-03-06T06:54:55Z,2023-03-06T06:54:55Z
56,46379417,30109179,Strawberry yoghurt,0.99,USD,Groceries,46379417,swapnilarya68,2023-03-06T06:54:35Z,2023-03-06T07:01:12Z
57,46379417,30109179,Plain yoghurt ,0.99,USD,General,46379417,swapnilarya68,2023-03-06T06:54:07Z,2023-03-06T06:54:07Z
58,46379417,30109179,Plain yoghurt ,0.99,USD,General,46379417,swapnilarya68,2023-03-06T06:53:48Z,2023-03-06T06:53:48Z
59,46379417,30109179,Sesame sticks,2.99,USD,General,46379417,swapnilarya68,2023-03-06T06:52:53Z,2023-03-06T06:52:53Z
60,46379417,30109179,Shortbread ,3.99,USD,General,46379417,swapnilarya68,2023-03-06T06:52:39Z,2023-03-06T06:52:39Z
61,46379417,30109179,Chips,1.99,USD,Groceries,46379417,swapnilarya68,2023-03-06T06:52:26Z,2023-03-06T06:52:26Z
62,46379417,30109179,Manas,4.9,USD,General,46379417,swapnilarya68,2023-03-05T04:01:53Z,2023-03-05T04:01:54Z
63,43357520,29433704,Settle up the Costco ,0.0,USD,Household supplies,43357520,Meet,2023-03-04T16:56:40Z,2023-03-04T16:56:40Z
64,43357520,43180781,Payment,91.31,USD,General,43357520,Meet,2023-03-04T16:56:05Z,2023-03-04T16:56:05Z
65,43357520,30109179,Coconut milk ,0.5,USD,Groceries,43357520,Meet,2023-03-04T16:47:50Z,2023-03-04T16:47:50Z
66,43357520,30109179,Brocolli,0.5,USD,General,43357520,Meet,2023-03-04T16:46:29Z,2023-03-04T16:46:29Z
67,43357520,30109179,Thai curry paste,0.9,USD,Dining out,43357520,Meet,2023-03-04T16:41:12Z,2023-03-04T16:47:08Z
68,43357520,30109179,Aluminum foil ,1.31,USD,Household supplies,43357520,Meet,2023-03-04T16:39:50Z,2023-03-04T16:39:50Z
69,43357520,30109179,Basil ,0.46,USD,General,43357520,Meet,2023-03-04T16:38:58Z,2023-03-04T16:38:58Z
70,43357520,30109179,Green onion,0.16,USD,Groceries,43357520,Meet,2023-03-04T16:38:45Z,2023-03-04T16:38:45Z
71,46379417,30109179,Ginger ,0.4,USD,Groceries,46379417,swapnilarya68,2023-03-04T01:04:09Z,2023-03-04T01:04:09Z
72,46379417,30109179,Red bp,0.51,USD,General,46379417,swapnilarya68,2023-03-04T01:04:02Z,2023-03-04T01:04:02Z
73,46379417,30109179,Olive oil,1.3,USD,Groceries,46379417,swapnilarya68,2023-03-04T01:03:51Z,2023-03-04T01:03:51Z
74,32703372,,Coconut milk,3.29,USD,Groceries,32703372,yashdani,2023-03-03T05:31:41Z,2023-03-03T05:31:41Z
75,32703372,,Strawberry,2.5,USD,Groceries,32703372,yashdani,2023-03-03T05:31:27Z,2023-03-03T05:31:27Z
76,32703372,,Blackberry,2.99,USD,General,32703372,yashdani,2023-03-03T05:31:19Z,2023-03-03T05:31:19Z
77,32703372,,Arugula,3.79,USD,General,32703372,yashdani,2023-03-03T05:30:59Z,2023-03-06T07:28:23Z
78,32703372,,Spinach,4.99,USD,General,32703372,yashdani,2023-03-03T05:30:48Z,2023-03-06T07:28:11Z
79,32703372,30109179,Garlic bread,0.7,USD,Groceries,32703372,yashdani,2023-03-03T05:30:19Z,2023-03-03T06:42:38Z
80,32703372,30109179,Tofu,0.36,USD,General,32703372,yashdani,2023-03-03T05:30:03Z,2023-03-03T05:30:03Z
81,32703372,30109179,Onions,0.54,USD,Groceries,32703372,yashdani,2023-03-03T05:29:56Z,2023-03-03T05:29:56Z
