,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,42918558,48657130,Uber,3.95,USD,Taxi,42918558,Ravi,2023-05-31T22:00:32Z,2023-05-31T22:00:32Z
1,42918558,48657130,Pizza,8.45,USD,Dining out,42918558,Ravi,2023-05-31T21:59:28Z,2023-05-31T21:59:28Z
2,32703372,29433704,Gas bill,9.14,USD,Heat/gas,32703372,yashdani,2023-05-31T08:34:11Z,2023-05-31T08:34:11Z
3,32703372,30109179,Spinach,1.25,USD,General,32703372,yashdani,2023-05-31T08:25:30Z,2023-05-31T08:25:30Z
4,43357520,30109179,Cauliflower ,1.69,USD,General,43357520,Meet,2023-05-31T01:49:02Z,2023-05-31T01:49:02Z
5,43357520,30109179,Onion ,0.49,USD,Groceries,43357520,Meet,2023-05-31T01:48:41Z,2023-05-31T01:48:41Z
6,43357520,30109179,Cilantro,0.25,USD,General,43357520,Meet,2023-05-31T01:48:27Z,2023-05-31T01:48:27Z
7,43357520,30109179,Roma tomato ,0.77,USD,Groceries,43357520,Meet,2023-05-31T01:48:16Z,2023-05-31T01:48:16Z
8,43357520,48657130,Lyft,6.24,USD,Taxi,43357520,Meet,2023-05-31T01:47:00Z,2023-05-31T01:47:00Z
9,43357520,48657130,Hookah,18.0,USD,Entertainment - Other,43357520,Meet,2023-05-31T01:46:22Z,2023-05-31T01:47:10Z
10,32703372,29433704,Vape,19.06,USD,General,32703372,yashdani,2023-05-30T23:13:06Z,2023-05-30T23:13:06Z
11,32703372,30109179,Cereal bar,0.0,USD,Groceries,32703372,yashdani,2023-05-30T23:10:56Z,2023-05-30T23:10:56Z
12,32703372,30109179,Chips ahoy,0.0,USD,Groceries,32703372,yashdani,2023-05-30T23:10:21Z,2023-05-30T23:10:21Z
13,46379417,30109179,Tofu,0.6,USD,General,46379417,swapnilarya68,2023-05-30T03:54:13Z,2023-05-30T03:54:13Z
14,46379417,30109179,Ginger,0.66,USD,Groceries,46379417,swapnilarya68,2023-05-30T03:54:05Z,2023-05-30T03:54:05Z
15,43357520,30109179,Channq masala,2.99,USD,General,43357520,Meet,2023-05-26T05:27:26Z,2023-05-26T05:27:26Z
16,43357520,30109179,Cilantro ,0.2,USD,General,43357520,Meet,2023-05-26T05:25:07Z,2023-05-26T05:25:07Z
17,43357520,30109179,Potatoes 5/5,1.0,USD,General,43357520,Meet,2023-05-26T05:24:55Z,2023-05-26T05:24:55Z
18,43357520,30109179,Roma tomato 5/5,0.71,USD,Groceries,43357520,Meet,2023-05-26T05:24:38Z,2023-05-26T05:24:38Z
19,43357520,30109179,Chips ahoy cookies 5/5/23,2.75,USD,Groceries,43357520,Meet,2023-05-26T05:24:19Z,2023-05-26T05:24:19Z
20,43357520,30109179,Kroger buns dabeli,0.75,USD,Groceries,43357520,Meet,2023-05-26T05:23:45Z,2023-05-26T05:23:45Z
21,43357520,30109179,Toor daal manas,2.0,USD,General,43357520,Meet,2023-05-26T05:22:44Z,2023-05-26T05:22:44Z
22,43357520,30109179,Gopi paneer 5/8/23,2.0,USD,General,43357520,Meet,2023-05-26T05:22:11Z,2023-05-26T05:22:11Z
23,43357520,30109179,Laxmi basmati rice from Manas 5/8/23,4.49,USD,General,43357520,Meet,2023-05-26T05:21:49Z,2023-05-26T05:21:49Z
24,43357520,30109179,Basil,0.58,USD,General,43357520,Meet,2023-05-26T05:19:12Z,2023-05-26T05:20:21Z
25,43357520,30109179,Parmesan,1.74,USD,General,43357520,Meet,2023-05-26T05:18:39Z,2023-05-26T05:20:14Z
26,43357520,30109179,Bell pepers,1.12,USD,General,43357520,Meet,2023-05-26T05:18:12Z,2023-05-26T05:20:07Z
27,43357520,30109179,Pasta,0.38,USD,Groceries,43357520,Meet,2023-05-26T05:17:11Z,2023-05-26T05:19:48Z
28,32703372,,Spinach,5.0,USD,General,32703372,yashdani,2023-05-24T11:50:36Z,2023-05-31T08:25:40Z
29,32703372,,Chips,2.49,USD,Groceries,32703372,yashdani,2023-05-24T11:50:26Z,2023-05-24T11:50:26Z
30,32703372,,Chips ahoy,6.98,USD,Groceries,32703372,yashdani,2023-05-24T11:50:13Z,2023-05-24T11:50:13Z
31,32703372,30109179,Mango,0.0,USD,General,32703372,yashdani,2023-05-24T11:49:36Z,2023-05-24T11:49:36Z
32,32703372,30109179,Tomato,0.57,USD,Groceries,32703372,yashdani,2023-05-24T11:49:15Z,2023-05-24T11:49:15Z
33,32703372,30109179,Onions,0.69,USD,Groceries,32703372,yashdani,2023-05-24T11:48:56Z,2023-05-24T11:48:56Z
34,46379417,30109179,Roti and Chole,9.18,USD,Dining out,46379417,swapnilarya68,2023-05-22T05:23:43Z,2023-05-22T05:23:43Z
35,46379417,30109179,Ralphs 10May,4.52,USD,General,46379417,swapnilarya68,2023-05-21T04:11:37Z,2023-05-21T04:11:38Z
36,46379417,30109179,Bell peppers ,0.82,USD,General,46379417,swapnilarya68,2023-05-21T04:10:52Z,2023-05-21T04:10:52Z
37,46379417,30109179,Garlic,0.6,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:10:31Z,2023-05-21T04:10:31Z
38,46379417,30109179,Ginger ,0.67,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:10:17Z,2023-05-21T04:10:36Z
39,46379417,30109179,Peas,0.45,USD,General,46379417,swapnilarya68,2023-05-21T04:09:53Z,2023-05-21T04:09:53Z
40,46379417,30109179,Ginger,0.66,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:07:39Z,2023-05-21T04:07:39Z
41,46379417,30109179,Tomatoes,1.59,USD,General,46379417,swapnilarya68,2023-05-21T04:07:15Z,2023-05-21T04:07:15Z
42,46379417,30109179,Onions,0.9,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:07:05Z,2023-05-21T04:07:05Z
43,46379417,30109179,Vinegar,0.49,USD,General,46379417,swapnilarya68,2023-05-21T04:06:58Z,2023-05-21T04:06:58Z
44,46379417,30109179,Olive oil,1.75,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:06:37Z,2023-05-21T04:06:37Z
45,46379417,30109179,Tofu,0.59,USD,General,46379417,swapnilarya68,2023-05-21T04:06:24Z,2023-05-21T04:06:24Z
46,46379417,30109179,Banana,2.3,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:06:16Z,2023-05-21T04:06:16Z
47,46379417,30109179,Tomatoes,1.07,USD,General,46379417,swapnilarya68,2023-05-21T04:06:06Z,2023-05-21T04:06:06Z
48,46379417,30109179,Onions,0.96,USD,Groceries,46379417,swapnilarya68,2023-05-21T04:05:57Z,2023-05-21T04:05:57Z
49,46379417,30109179,Cuties,6.0,USD,General,46379417,swapnilarya68,2023-05-21T04:05:48Z,2023-05-21T04:05:48Z
50,46379417,30109179,Spinach,5.0,USD,General,46379417,swapnilarya68,2023-05-21T04:05:38Z,2023-05-21T04:05:38Z
51,46379417,30109179,Basil,1.0,USD,General,46379417,swapnilarya68,2023-05-21T04:05:28Z,2023-05-21T04:05:28Z
52,32703372,,DigitalOcean,1.0,USD,General,32703372,yashdani,2023-05-18T18:09:01Z,2023-05-18T18:09:01Z
53,32703372,,Chips,8.0,USD,Groceries,32703372,yashdani,2023-05-18T18:01:12Z,2023-05-18T18:01:12Z
54,32703372,,Paneer paratha,18.0,USD,Dining out,32703372,yashdani,2023-05-18T18:00:54Z,2023-05-18T18:00:54Z
55,32703372,,Paneer,8.0,USD,General,32703372,yashdani,2023-05-18T18:00:43Z,2023-05-18T18:00:43Z
56,32703372,30109179,Bhakri,0.0,USD,General,32703372,yashdani,2023-05-18T18:00:16Z,2023-05-18T18:00:16Z
57,32703372,30109179,Roti,3.33,USD,Dining out,32703372,yashdani,2023-05-18T18:00:00Z,2023-05-20T21:36:26Z
58,32703372,30109179,Roti,3.34,USD,Dining out,32703372,yashdani,2023-05-18T17:59:49Z,2023-05-18T17:59:49Z
59,32703372,,Stroopwaffle,3.49,USD,General,32703372,yashdani,2023-05-18T17:58:45Z,2023-05-18T17:58:45Z
60,32703372,30109179,Avocado oil,2.0,USD,Groceries,32703372,yashdani,2023-05-18T17:58:27Z,2023-05-18T17:58:27Z
61,32703372,30109179,Pasta,0.33,USD,Groceries,32703372,yashdani,2023-05-18T17:58:05Z,2023-05-18T17:58:05Z
62,32703372,,Recsports,55.0,USD,General,32703372,yashdani,2023-05-18T18:09:36Z,2023-05-18T18:09:36Z
63,32703372,,Cava,16.0,USD,General,32703372,yashdani,2023-05-18T18:09:15Z,2023-05-18T18:09:15Z
64,46379417,30109179,Laundry,0.0,USD,Services,46379417,swapnilarya68,2023-05-13T05:44:47Z,2023-05-13T05:44:47Z
65,46379417,30109179,Dishwasher detergent ,4.62,USD,Household supplies,46379417,swapnilarya68,2023-05-12T19:59:41Z,2023-05-12T19:59:41Z
66,46379417,30109179,Dishwasher detergent ,4.62,USD,Household supplies,46379417,swapnilarya68,2023-05-12T19:59:29Z,2023-05-12T19:59:29Z
67,46379417,30109179,Protein bar,21.0,USD,Liquor,46379417,swapnilarya68,2023-05-12T19:58:24Z,2023-05-12T19:58:24Z
68,46379417,30109179,Organic ghee,6.5,USD,Groceries,46379417,swapnilarya68,2023-05-12T19:58:08Z,2023-05-12T19:58:08Z
69,46379417,30109179,Rao marinara,3.0,USD,General,46379417,swapnilarya68,2023-05-12T19:56:40Z,2023-05-12T19:56:40Z
70,46379417,30109179,Protein bar,21.0,USD,Liquor,46379417,swapnilarya68,2023-05-12T19:56:10Z,2023-05-12T19:56:10Z
71,46379417,30109179,Kitchen Towels,3.97,USD,Household supplies,46379417,swapnilarya68,2023-05-12T19:55:28Z,2023-05-12T19:56:14Z
72,32703372,,Himalayan House,50.0,USD,General,32703372,yashdani,2023-05-18T18:08:24Z,2023-05-18T18:08:37Z
73,43357520,29433704,Cycling,22.0,USD,General,43357520,Meet,2023-05-11T01:14:37Z,2023-05-11T01:14:37Z
74,32703372,,Chips ahoy,5.0,USD,Groceries,32703372,yashdani,2023-05-18T18:05:30Z,2023-05-18T18:05:30Z
75,32703372,30109179,Cilantro,0.26,USD,General,32703372,yashdani,2023-05-18T18:22:10Z,2023-05-18T18:22:10Z
76,32703372,30109179,Naan,4.0,USD,General,32703372,yashdani,2023-05-18T18:21:29Z,2023-05-18T18:21:46Z
77,27555627,29433704,Tulsi,11.79,USD,General,27555627,Geet,2023-05-08T05:52:21Z,2023-05-08T05:52:21Z
78,27555627,29433704,Lyft,5.0,USD,Taxi,27555627,Geet,2023-05-08T05:49:59Z,2023-05-08T05:49:59Z
79,46379417,30109179,Roti,3.74,USD,Dining out,46379417,swapnilarya68,2023-05-08T03:09:59Z,2023-05-08T03:09:59Z
80,46379417,30109179,Roti,1.25,USD,Dining out,46379417,swapnilarya68,2023-05-08T03:09:40Z,2023-05-08T03:09:40Z
81,46379417,30109179,Ralphs,2.0,USD,General,46379417,swapnilarya68,2023-05-08T01:08:37Z,2023-05-08T01:08:38Z
82,27555627,30109179,Clorox,0.95,USD,General,27555627,Geet,2023-05-07T22:28:24Z,2023-05-07T22:29:10Z
83,32703372,29433704,Blaze,7.94,USD,General,32703372,yashdani,2023-05-07T22:14:32Z,2023-05-07T22:14:32Z
84,32703372,30109179,Yogurt,0.0,USD,Groceries,32703372,yashdani,2023-05-06T05:11:20Z,2023-05-06T05:11:20Z
85,46379417,30109179,Ginger,0.5,USD,Groceries,46379417,swapnilarya68,2023-05-04T19:01:20Z,2023-05-04T19:01:20Z
86,32703372,,Oreo,5.0,USD,General,32703372,yashdani,2023-05-18T18:03:30Z,2023-05-18T18:03:30Z
87,32703372,,Chipotle,10.0,USD,Dining out,32703372,yashdani,2023-05-18T18:03:44Z,2023-05-18T18:04:05Z
88,32703372,30109179,Cilantro,0.26,USD,General,32703372,yashdani,2023-05-03T14:24:35Z,2023-05-03T14:24:35Z
89,32703372,30109179,Lemon,0.39,USD,Groceries,32703372,yashdani,2023-05-03T14:24:17Z,2023-05-03T14:24:17Z
90,32703372,30109179,Greek yogurt,0.0,USD,Groceries,32703372,yashdani,2023-05-03T14:24:04Z,2023-05-03T14:24:04Z
91,32703372,30109179,Yogurt plain,0.8,USD,Groceries,32703372,yashdani,2023-05-03T14:23:48Z,2023-05-03T14:23:48Z
