,id,group_id,description,cost,currency_code,category,id,first_name,created_at,updated_at
0,46379417,30109179,Ralphs,3.6,USD,General,46379417,swapnilarya68,2023-10-31T00:56:35Z,2023-10-31T00:56:36Z
1,46379417,30109179,"Jeera,mustard,roti,paste",7.29,USD,Dining out,46379417,swapnilarya68,2023-10-31T00:55:37Z,2023-10-31T00:55:37Z
2,27555627,29433704,Subway,6.46,USD,Dining out,27555627,Geet,2023-10-30T07:23:41Z,2023-10-30T07:23:41Z
3,27555627,29433704,Postmates,7.29,USD,General,27555627,Geet,2023-10-30T07:23:22Z,2023-10-30T07:23:22Z
4,27555627,29433704,Dominos,9.84,USD,Dining out,27555627,Geet,2023-10-28T04:14:26Z,2023-10-28T04:14:26Z
5,27555627,30109179,Garlic Naan,0.87,USD,Groceries,27555627,Geet,2023-10-28T04:09:26Z,2023-10-28T04:09:26Z
6,27555627,30109179,Siggis,3.33,USD,General,27555627,Geet,2023-10-28T04:08:44Z,2023-10-28T04:08:44Z
7,27555627,30109179,Coconut,0.66,USD,Groceries,27555627,Geet,2023-10-28T04:08:14Z,2023-10-28T04:08:14Z
8,27555627,30109179,Spinach,1.0,USD,General,27555627,Geet,2023-10-28T04:07:57Z,2023-10-28T04:07:57Z
9,27555627,30109179,Bananas,1.19,USD,Groceries,27555627,Geet,2023-10-28T04:07:45Z,2023-10-28T04:07:45Z
10,27555627,30109179,Onions,0.77,USD,Groceries,27555627,Geet,2023-10-28T04:07:31Z,2023-10-28T04:07:31Z
11,27555627,30109179,Watermelon,1.33,USD,Groceries,27555627,Geet,2023-10-28T04:07:15Z,2023-10-28T04:07:15Z
12,27555627,30109179,Yogurt,0.86,USD,Groceries,27555627,Geet,2023-10-28T04:06:58Z,2023-10-28T04:06:58Z
13,27555627,30109179,Pasta,0.2,USD,Groceries,27555627,Geet,2023-10-28T04:06:28Z,2023-10-28T04:06:28Z
14,27555627,30109179,Bell peppers,0.42,USD,General,27555627,Geet,2023-10-28T04:06:16Z,2023-10-28T04:06:16Z
15,27555627,30109179,Marinara,0.7,USD,General,27555627,Geet,2023-10-28T04:05:58Z,2023-10-28T04:05:58Z
16,27555627,30109179,Basil and red pepper flakes,0.8,USD,General,27555627,Geet,2023-10-28T04:05:41Z,2023-10-28T04:05:41Z
17,46379417,30109179,Ginger,0.79,USD,Groceries,46379417,swapnilarya68,2023-10-28T00:51:43Z,2023-10-28T00:51:43Z
18,32703372,29433704,Water and sewer,14.86,USD,Water,32703372,yashdani,2023-10-27T04:18:18Z,2023-10-27T04:18:18Z
19,32703372,30109179,Roti,5.0,USD,Dining out,32703372,yashdani,2023-10-26T03:44:29Z,2023-10-26T03:44:29Z
20,32703372,30109179,Paneer,3.2,USD,General,32703372,yashdani,2023-10-26T03:44:14Z,2023-10-26T03:44:14Z
21,32703372,30109179,Date chutney,1.0,USD,General,32703372,yashdani,2023-10-26T03:44:04Z,2023-10-26T03:44:04Z
22,32703372,30109179,Sandwich chutney,1.0,USD,Dining out,32703372,yashdani,2023-10-26T03:43:52Z,2023-10-26T03:43:52Z
23,46379417,30109179,"Tomatoes, Basil, Onions Oct 2",2.53,USD,Groceries,46379417,swapnilarya68,2023-10-24T19:19:52Z,2023-10-24T19:19:52Z
24,46379417,30109179,Tomatoes and Onions,2.47,USD,Groceries,46379417,swapnilarya68,2023-10-24T19:17:31Z,2023-10-24T19:17:31Z
25,43357520,30109179,Coca cola,1.86,USD,Groceries,43357520,Meet,2023-10-23T20:28:51Z,2023-10-23T20:28:51Z
26,43357520,30109179,Cilantro tomato bellpepper ,0.97,USD,Groceries,43357520,Meet,2023-10-23T20:25:39Z,2023-10-23T20:25:39Z
27,32703372,29433704,Gas bill october,2.09,USD,Heat/gas,32703372,yashdani,2023-10-23T12:25:27Z,2023-10-23T12:25:27Z
28,32703372,29433704,Gas bill september,2.5,USD,Heat/gas,32703372,yashdani,2023-10-23T12:25:13Z,2023-10-23T12:25:13Z
29,27555627,30109179,Cretos,9.94,USD,General,27555627,Geet,2023-10-22T03:11:52Z,2023-10-22T03:11:52Z
30,27555627,30109179,Yogurt,7.09,USD,Groceries,27555627,Geet,2023-10-22T03:11:13Z,2023-10-22T03:11:13Z
31,41535264,30109179,maggi,1.25,USD,General,41535264,Akshaya,2023-10-22T03:00:11Z,2023-10-22T03:00:17Z
32,41535264,30109179,banana chipd,8.0,USD,Groceries,41535264,Akshaya,2023-10-22T02:59:55Z,2023-10-22T02:59:55Z
33,41535264,30109179,roti,2.99,USD,Dining out,41535264,Akshaya,2023-10-22T02:59:28Z,2023-10-22T02:59:28Z
34,41535264,30109179,gopi paneer,3.2,USD,General,41535264,Akshaya,2023-10-22T02:59:02Z,2023-10-22T02:59:10Z
35,41535264,29433704,coffee ,5.1,USD,Dining out,41535264,Akshaya,2023-10-22T02:58:40Z,2023-10-22T02:58:40Z
36,32703372,30109179,Tahini,1.08,USD,General,32703372,yashdani,2023-10-21T15:38:58Z,2023-10-21T15:38:58Z
37,32703372,30109179,Garlic,0.42,USD,Groceries,32703372,yashdani,2023-10-21T15:38:49Z,2023-10-21T15:38:49Z
38,32703372,30109179,Dill,0.41,USD,General,32703372,yashdani,2023-10-21T15:38:37Z,2023-10-21T15:38:37Z
39,32703372,30109179,Mint,0.42,USD,General,32703372,yashdani,2023-10-21T15:38:30Z,2023-10-21T15:38:30Z
40,32703372,30109179,Parsely,0.42,USD,General,32703372,yashdani,2023-10-21T15:38:24Z,2023-10-21T15:38:24Z
41,32703372,30109179,Lemon,0.67,USD,Groceries,32703372,yashdani,2023-10-21T15:38:09Z,2023-10-21T15:38:09Z
42,32703372,30109179,Olive oil,3.0,USD,Groceries,32703372,yashdani,2023-10-21T15:37:54Z,2023-10-21T15:37:54Z
43,46379417,30109179,Roti,2.51,USD,Dining out,46379417,swapnilarya68,2023-10-19T00:07:26Z,2023-10-19T00:07:26Z
44,32703372,30109179,A2,0.0,USD,General,32703372,yashdani,2023-10-18T06:26:33Z,2023-10-18T06:26:33Z
45,32703372,30109179,Oats,0.0,USD,General,32703372,yashdani,2023-10-18T06:26:14Z,2023-10-18T06:26:14Z
46,27555627,29433704,Ali express ,6.41,USD,General,27555627,Geet,2023-10-17T05:14:35Z,2023-10-17T05:14:35Z
47,27555627,30109179,Yogurt,4.0,USD,Groceries,27555627,Geet,2023-10-16T22:05:59Z,2023-10-16T22:05:59Z
48,27555627,30109179,Coke,1.73,USD,General,27555627,Geet,2023-10-15T18:37:19Z,2023-10-15T18:37:52Z
49,27555627,30109179,Chips ahoy,5.5,USD,Groceries,27555627,Geet,2023-10-15T18:37:03Z,2023-10-15T18:37:03Z
50,27555627,53477530,Jevan,15.73,USD,General,27555627,Geet,2023-10-15T05:15:33Z,2023-10-15T07:27:55Z
51,27555627,53477530,Papa Johns,5.95,USD,Groceries,27555627,Geet,2023-10-14T23:40:13Z,2023-10-14T23:40:13Z
52,46379417,30109179,Ginger garlic,1.26,USD,Groceries,46379417,swapnilarya68,2023-10-14T22:12:09Z,2023-10-14T22:12:09Z
53,27555627,30109179,Green pepper + potatoes,2.0,USD,General,27555627,Geet,2023-10-13T20:01:42Z,2023-10-13T20:01:42Z
54,46379417,30109179,Salt,0.44,USD,Groceries,46379417,swapnilarya68,2023-10-13T03:51:39Z,2023-10-13T03:51:58Z
55,46379417,30109179,Al foil,0.8,USD,Household supplies,46379417,swapnilarya68,2023-10-13T03:51:29Z,2023-10-13T03:51:51Z
56,46379417,30109179,Bhaalu,4.99,USD,General,46379417,swapnilarya68,2023-10-13T03:49:43Z,2023-10-13T03:49:43Z
57,46379417,30109179,Dishwasher sabun,2.58,USD,General,46379417,swapnilarya68,2023-10-13T03:49:12Z,2023-10-13T03:49:12Z
58,46379417,30109179,Ginger,0.27,USD,Groceries,46379417,swapnilarya68,2023-10-13T03:48:25Z,2023-10-13T03:48:25Z
59,46379417,30109179,Paneer,2.33,USD,General,46379417,swapnilarya68,2023-10-13T03:47:31Z,2023-10-13T03:47:31Z
60,46379417,30109179,Rasa,8.13,USD,General,46379417,swapnilarya68,2023-10-13T03:46:45Z,2023-10-13T03:46:45Z
61,46379417,30109179,Onions and Tomatoes ,2.53,USD,Groceries,46379417,swapnilarya68,2023-10-13T00:53:14Z,2023-10-13T00:53:14Z
62,27555627,,Cab,11.0,USD,Taxi,27555627,Geet,2023-10-11T22:59:07Z,2023-10-11T22:59:07Z
63,46379417,29433704,Roti ,7.49,USD,Dining out,46379417,swapnilarya68,2023-10-10T07:26:12Z,2023-10-13T03:44:51Z
64,6475068,30109179,Paneer,2.0,USD,General,6475068,Nikhil,2023-10-06T19:10:22Z,2023-10-06T19:10:22Z
65,27555627,30109179,Yogurt,1.6,USD,Groceries,27555627,Geet,2023-10-05T01:11:53Z,2023-10-05T01:11:53Z
66,32703372,29433704,August water bill,15.39,USD,Water,32703372,yashdani,2023-10-03T20:46:20Z,2023-10-03T20:46:20Z
67,27555627,29433704,Payment,0.0,USD,General,27555627,Geet,2023-10-02T22:51:21Z,2023-10-02T22:51:21Z
68,27555627,43180781,Payment,4.62,USD,General,27555627,Geet,2023-10-02T22:51:11Z,2023-10-02T22:51:11Z
69,28082041,53477530,Payment,20.07,USD,General,28082041,Rachit,2023-10-02T08:12:38Z,2023-10-02T08:12:38Z
70,27555627,30109179,Payment,32.33,USD,General,27555627,Geet,2023-10-02T07:59:09Z,2023-10-02T07:59:09Z
71,27555627,29433704,Payment,0.0,USD,General,27555627,Geet,2023-10-02T07:58:59Z,2023-10-02T07:58:59Z
72,32703372,30109179,Cake,0.0,USD,Gifts,32703372,yashdani,2023-10-02T07:49:13Z,2023-10-02T07:49:13Z
73,32703372,30109179,Kashi,0.0,USD,General,32703372,yashdani,2023-10-02T07:48:47Z,2023-10-02T07:48:47Z
74,32703372,30109179,Kashi,0.0,USD,General,32703372,yashdani,2023-10-02T07:48:14Z,2023-10-02T07:48:14Z
75,32703372,30109179,Nature valley,0.0,USD,General,32703372,yashdani,2023-10-02T07:47:30Z,2023-10-02T07:47:30Z
76,32703372,30109179,Power crunch,0.0,USD,Electricity,32703372,yashdani,2023-10-02T07:47:12Z,2023-10-02T07:51:34Z
77,32703372,29433704,Swapnil,20.11,USD,General,32703372,yashdani,2023-10-02T06:37:22Z,2023-10-02T06:37:22Z
